C,NEMP.WORLD,DISPATCH,PUBLIC,DISPATCH,2024/01/15,00:00:00,0000000000000001,NemsWeb
I,DISPATCH,PRICE,1,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,RAISEREGRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP,LOWERREGRRP,RAISE1SECRRP,LOWER1SECRRP,EEP,INVALIDFLAG,LASTCHANGED,RAISE6SECROP,RAISE60SECROP,RAISE5MINROP,RAISEREGROP,LOWER6SECROP,LOWER60SECROP,LOWER5MINROP,LOWERREGROP,RAISE1SECROP,LOWER1SECROP,DCCONVRATIOFLAG,BESTDISPATCHINTERVALSELECTION
D,DISPATCH,PRICE,1,2024/01/15 00:05:00,1,NSW1,1,0,62.35,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:05:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
D,DISPATCH,PRICE,1,2024/01/15 00:05:00,1,QLD1,1,0,61.18,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:05:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
D,DISPATCH,PRICE,1,2024/01/15 00:05:00,1,SA1,1,0,63.45,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:05:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
D,DISPATCH,PRICE,1,2024/01/15 00:05:00,1,TAS1,1,0,62.10,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:05:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
D,DISPATCH,PRICE,1,2024/01/15 00:05:00,1,VIC1,1,0,61.90,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:05:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
D,DISPATCH,PRICE,1,2024/01/15 00:10:00,1,NSW1,2,0,58.72,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:10:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
D,DISPATCH,PRICE,1,2024/01/15 00:10:00,1,QLD1,2,0,57.89,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:10:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
D,DISPATCH,PRICE,1,2024/01/15 00:10:00,1,SA1,2,0,59.11,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:10:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
D,DISPATCH,PRICE,1,2024/01/15 00:10:00,1,VIC1,2,0,58.44,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,0,2024/01/15 00:10:03,0.55,0.22,0.18,15.42,0.31,0.19,0.15,8.76,0.00,0.00,0,1
F,,,1
